BubbleC	InsertionC	SelectionC	SortC	BubbleJ	InsertionJ	SelectionJ	SortJ
0.2925	0.0545 	0.0907	0.0015	0.1022401	0.0077501	0.0221462	9,61E-01
0.2867	0.0537	0.0902	0.0016	0.1044345	0.0070634	0.0220564	8,47E-01
0.2754	0.0554 	0.09	0.0018	0.1086181	0.0072402	0.0220486	8.37E-4
0.2513	0.0547 	0.0904	0.0019	0.0998257	0.0067654	0.0230061	8,39E-01
0.2621	0.0549 	0.091	0.0014	0.1001253	0.0072531	0.0224953	8,33E-01
0.267	0.0548 	0.097	0.0022	0.1118734	0.007065	0.0223323	8,42E-01
0.3025	0.0551	0.1061	0.0024	0.1013019	0.0066342	0.0220639	8,63E-01
0.2856	0.0524 	0.0942	0.0015	0.096716	0.0069163	0.0220265	0.0012871
0.2817	0.0546 	0.099	0.0017	0.10165         0.0065092	0.0220193	9,20E-01
0.2783	0.0534 	0.091	0.0019	0.102695	0.0066777	0.022375	9,05E-01
0.276	0.0541 	0.0932	0.0014	0.1090957	0.0067626	0.0225796	9,49E-01
0.2732	0.0546 	0.0945	0.0022	0.1069246	0.0068394	0.0221394	0.0011867
0.2573	0.0551 	0.0991	0.0018	0.1107249	0.0076084	0.0220612	0.0010079
0.2751	0.0549 	0.0942	0.0014	0.1042107	0.0073803	0.0220708	8,25E-01
0.272	0.0546 	0.0946	0.0019	0.10768	        0.0069334	0.0220366	8,38E-01
0.2846	0.0542 	0.089	0.0015	0.1112051	0.0072393	0.0219062	8,39E-01
0.2745	0.0551 	0.0911	0.0023	0.1142701	0.0067599	0.0235729	8,34E-01
0.262	0.0547	0.0899	0.0021	0.1122735	0.0068007	0.0217	        9,19E-01
0.266	0.0535 	0.097	0.0015	0.1086326	0.0066198	0.0216108	9,09E-01
0.2563	0.0545 	0.0964	0.0018	0.131381	0.0069026	0.0216471	9.09E-4
0.2626	0.0545 	0.1066	0.0017	0.1351162	0.007319	0.022047	9,11E-01
0.2785	0.0538 	0.097	0.0015	0.1028211	0.0069351	0.022055	9,15E-01
0.2675	0.0543 	0.091	0.0016	0.1038058	0.0067651	0.0225508	9,34E-01
0.2745	0.0548 	0.0915	0.0013	0.1047832	0.006726	0.0220427	9,10E-01
0.2701	0.0541 	0.0915	0.0014	0.1213705	0.0064746	0.0220627	9,06E-01
0.2581	0.0544 	0.098	0.0021	0.1170568	0.0065818	0.0221431	9,01E-01
0.2622	0.0551 	0.096	0.0028	0.1091621	0.0069258	0.02209	        9,05E-01
0.2423	0.0534 	0.091	0.0024	0.1048494	0.0067432	0.0221124	9,02E-01
0.2659	0.0540	0.092	0.0021	0.103033	0.006702	0.0225288	9,04E-01
0.252	0.0558 	0.091	0.0018	0.1017488	0.0066185	0.0222869	8,36E-01
